Probe_ID	Gene_Symbol
4180626	AMY1A
840500	AMY1B
4070164	AMY1B
5550288	AMY1B
1820068	AMY1C
1440403	AMY2A
2450347	AMY2A
3130296	AMY2A
7380121	AMY2A
4810176	AMY2B
7000754	AMY2B
4730402	AMZ1
270739	AMZ2
510328	AMZ2
460609	ANAPC1
730647	ANAPC1
7210259	ANAPC1
6840706	ANAPC10
10220	ANAPC11
4230544	ANAPC11
4540162	ANAPC11
4760288	ANAPC11
6590537	ANAPC11
6250382	ANAPC13
3870424	ANAPC2
4180634	ANAPC2
6450021	ANAPC4
4730408	ANAPC5
160220	ANAPC7
3890484	ANG
3930392	ANG
5550086	ANGEL1
1820441	ANGEL2
3120326	ANGPT1
3360066	ANGPT1
3180689	ANGPT2
3360398	ANGPT2
3450066	ANGPT2
6040343	ANGPT4
1230039	ANGPTL1
2030450	ANGPTL1
7650672	ANGPTL2
1050561	ANGPTL3
6770427	ANGPTL3
990092	ANGPTL4
2450592	ANGPTL4
4610433	ANGPTL4
2360066	ANGPTL5
5050707	ANGPTL6
2640348	ANGPTL7
2900402	ANK1
3180209	ANK1
4780437	ANK2
4920441	ANK2
1450672	ANK3
1850709	ANK3
2630600	ANK3
110707	ANKAR
1430563	ANKAR
5890564	ANKDD1A
6590152	ANKFN1
450300	ANKFY1
6220152	ANKFY1
6980639	ANKFY1
2680253	ANKH
5130274	ANKH
610546	ANKHD1
6380100	ANKHD1
7150026	ANKHD1
520008	ANKHD1-EIF4EBP3
2970672	ANKIB1
780338	ANKK1
110301	ANKLE1
2360671	ANKLE2
2760102	ANKMY1
2970068	ANKMY1
6200358	ANKMY1
4890136	ANKMY2
1170630	ANKRA2
7400114	ANKRA2
6560112	ANKRD1
4540689	ANKRD10
6900674	ANKRD10
3370274	ANKRD11
5890403	ANKRD11
7040132	ANKRD12
2120224	ANKRD13A
5910273	ANKRD13B
4810053	ANKRD13C
610070	ANKRD13D
2320064	ANKRD13D
3520692	ANKRD13D
3850097	ANKRD13D
4010424	ANKRD13D
4060451	ANKRD13D
50070	ANKRD16
650008	ANKRD16
3450274	ANKRD16
3130156	ANKRD17
4210437	ANKRD17
6940520	ANKRD17
5810215	ANKRD18A
7160022	ANKRD18A
5340202	ANKRD18B
5870356	ANKRD18B
